url,question,answer,manual quote 1,manual quote 2,manual quote 3
https://boardgamegeek.com/thread/2169616/a-couple-of-rules-questions,The 3 Rugwort cards all have different names but each one is a unique critter. Can there only be one Rugwort in a city regardless of the card's name?,"The Rugwort cards are optional and each is unique, so more than one can be in play in the same city.","""You will be playing these cards in front
of you to form your city. There are two
types of cards in the game: Critters
and Constructions. You may have
multiple copies of any Common card in
your city, but you may only have one
specific copy of any Unique card""",,
https://boardgamegeek.com/thread/2974226/can-you-use-gardner-to-activate-a-legendary-card,Can you use Gardner to activate a Legendary card?,"Legendary cards activate when played and when you prepare for spring and for Autumn. It cannot be copied, activated, reactivated, mimicked, mirrored or anything else.",“Legendary cards may not be copied by any effect”,,
https://boardgamegeek.com/thread/2029008/legendary-construction-cards-and-occupied-tokens,"If I discard a construction card to upgrade it to its associated legendary construction, and that discarded construction had an occupied token on it, do I need to transfer the occupied token to the legendary construction?In other words, can I get another free critter by timing my legendary upgrades optimally?",You should transfer the occupied token to the Legendary Construction.,,,
https://boardgamegeek.com/thread/2278337/governance-cards,do I have to trigger my governance cards or is it optional ?,"If you can, you must, at least based on the text of the card.",,,
https://boardgamegeek.com/thread/2151918/lookout-card-and-journey-location-question,"When you've already used the forest location two times, can you use the look out to use it for a third time?","You can use the Lookout to copy any Basic or Forest location, regardless of whether you have a worker there or not. ","""Lookout: When you place a worker here, 
copy any 1 basic or Forest location, even if it 
is occupied by 1 of your workers.""
",,
https://boardgamegeek.com/thread/2029162/husbandwife-pair-how-many-points-for-the-wife,"Can a wife/husband be paired up with multiple husband/wife? In one game I had 1 wife and two husbands. Can I pair up the wife with both husbands and save a city space, or can they only be paired up once?",Only one Husband/Wife pair per space is allowed.,"""Husband: Shares a space with a Wife, so 
combined they only take up 1 space in your 
city. If you have a Farm in your City and this 
Husband is paired with a Wife, then this card 
gives you 1 of any resource when played and 
during Production. May only share a space 
with 1 Wife.""","""Wife: Shares a space with a Husband, so 
combined they only take up 1 space in your 
city. At game end, worth 3 points if paired 
with a Husband. May only share space with 
1 Husband.""",
https://boardgamegeek.com/thread/2042229/ruins-and-university-questions,"The cards state gain 'Resources' equal to the cards cost.Does this equate to the exact same resources the building cost or any resources you choose equal to the total cost?For example blow something up that cost 3 wood to create, you get 3 wood back. Or 3 resources of your choice?Seems like an obvious answer but there was enough ambiguity in the wording to cause some debate in our first game. Also the ruins can only be used once? And must be used at the time of playing the card?Thanks in advance for the clarification.",You get the exact resources of the card you ruin.Ruins can only be used once.Thanks for asking!,"""Ruins: When played, discard a Construction 
from your city and place this card in that spot, 
then receive back that Construction’s listed 
cost in resources. Also draw 2 cards.""","""University: When you place a worker here, 
discard 1 Construction or Critter from your 
city and receive back the listed cost of 
resources of the discarded card, plus gain 
1 of any resource and gain 1 point. If you 
discard a card with a permanent worker 
on it, place that worker on the University 
permanently instead (you do not get the 
worker back).""",
https://boardgamegeek.com/thread/3031725/chip-sweep-on-storehouse-with-worker-already-on-st,"if I used Chip Sweep on the Storehouse, I get to place resources on it, but what if a worker is already on the Storehouse? Do I automatically get to take those resources or do I have to wait till the next Season to redeploy a worker back on the Storehouse?",You need to wait until you can put a new worker on that storehouse.,"""Chip Sweep: When played and during 
Production, activate any 1 green Production 
card in your city""","""Storehouse: When played and during 
Production, take from the supply and place 
either 3 twigs, 2 resin, 1 pebble, or 2 berries 
on this card. Also works as a location to place 
a worker and take all of the resources on the 
card.""",
https://boardgamegeek.com/thread/2632094/paired-cards-and-city-space,"I had 9 cards in hand (limit increased by 1 due to pearl), spent the pearl for an adornment so my hand limit would be decreased to 8 again. Do I have to discard a card as I have too many cards or can I keep the 9 cards but cannot draw additional cards until I have a maximum of 8 cards in hand?","When your hand is increased then decreased, you would have to end your turn with 8 cards.",,,
https://boardgamegeek.com/thread/2041132/5-questions-rangers-cemetary-monastery-ruins-gazet,Can the ranger move a deployed worker from a permanent location (like the cemetary or monastery)?,"No. ""Permanently"" is pretty permanent. Well, as long as the game lasts, off course. But a Ranger can't bring people from the dead and can't persuade monks to leave the monastery.","""Cemetery: When you place a worker here, 
reveal 4 cards from the draw pile or discard 
pile and play 1 of them for free. Discard 
the others. Your worker must stay here 
permanently""","""Monastery: When you place a worker here, 
give 2 of any resources to an opponent 
and then gain 4 points. Worker stays here 
permanently."" ","""Ranger: When played, move any 1 of 
your deployed workers to a new location, 
following the normal worker placement 
rules."""
https://boardgamegeek.com/thread/2886298/dungeon-and-fool,If I have a face down fool under my dungeon can an opponent play another fool into my city?,"If the Fool is in/under your Dungeon then sadly yes, your opponent can play another Fool into your city. Hopefully you also have the Ranger and can throw the second Fool into the Dungeon as well.","""Fool: The Fool is played into an empty spot 
in an opponent’s city.""","""The Critter in your Dungeon is 
no longer considered part of your city and 
is not worth any points.""",
https://boardgamegeek.com/thread/2295452/clarifications-on-postal-pigeon-solo-play-and-rang,"When playing solo against Rugwort, and playing a postal pigeon, does that count as playing 1 or 2 cards?","In the rules book 2.0 says ""Solo Game: If you play a Postal Pigeon and activate its ability to play another card, that counts as you playing 2 cards, so on Rugwort’s turn he will play 2 cards"".","""Solo Game: If you play a Postal Pigeon and activate its ability to play another card, that counts as you playing 2 cards, so on Rugwort’s turn he will play 2 cards"".",,
https://boardgamegeek.com/thread/2531000/copying-a-storehouse,Can I use the Miner Mole to copy a Storehouse? How does that work?,"You cannot use a Miner Mole in your city to copy a Storehouse in another city. However, you could use a Miner Mole in your city to copy a Miner Mole in another city, then activate a Storehouse in your own city, placing the resources on your storehouse--not on the Miner Mole.","""Miner Mole: When played and during 
Production, you may copy any 1 green 
Production card in any opponent’s city. 
Basically the Miner Mole becomes that card 
for a moment—so if copying a General Store, 
you would receive 2 berries if that opponent 
also had a Farm in their city.""",,
https://boardgamegeek.com/thread/2759645/ranger-and-journey-interaction,"Is there a place for feedback on the rulebooks, and is such feedback still accepted?","There is definitely no time for feedback or suggestions on the rulebook of the complete collection, but the Everdell's Gilded Book is highly comprehensive.",,,
https://boardgamegeek.com/thread/3169492/interaction-between-starlings-power-card-and-scurr,"When I play a worker on the Scurrble Stadium, can I draw the cards from the Meadow, since my power card allows me to do so?","Of course, your power says ""when you draw cards"". Scurrble Stadium allows you to draw cards.",,,
https://boardgamegeek.com/thread/2977370/big-city-basic-event,My question is for big city basic event. Does it have to be 15 spaces in your city or is it 15 cards in your city? My wife and I are having a disagreement about it. I feel it is 15 spaces in your city and she is trying to say 15 cards because she has the scribbles stacked. Thanks for any clarification.,"The Newleaf rulebook specifies that it’s 15 cards, not spaces. “The Big City Event requires you to have at least 15 cards in your city. This includes any Critter or Construction that share a space or do not take up a space.”","""The Big City Event requires you to have at least 15 cards in your city. This includes any Critter or Construction that share a space or do not take up a space.”",,
https://boardgamegeek.com/thread/2026785/question-about-the-shepherd-card,"For the Red destination cards, do you get the bonus when you build the card into your city, then again if you place a worker there later? Or is it only activated when a worker is placed on it? And with Blue Governance cards, do we get that right away and again later? Or just later?","You have to place a worker on the Destination cards to activate their ability.With blue Governance cards, like Shopkeeper or Courthouse, those abilities activate after future cards. So if you played the Shopkeeper, you would not activate him right away to get 1 berry. But if you had the Shopkeeper in your city and played a Critter, then his ability would activate after you played that other Critter.","""Red Destination: Activates
when a worker is placed on it"".","""Blue Governance: Grants you
bonuses after playing certain
card types""",
https://boardgamegeek.com/thread/2027593/basic-and-special-events,"When you go on an Event, do both kinds get removed from the game and into your personal area? So are both Basic & Special Events only claimed once?","Yes, that is correct.","""Only one player may 
achieve a specific Event""",,
https://boardgamegeek.com/thread/2026785/question-about-the-shepherd-card,"I’m not sure I understand what happens if you have the Chapel card, then get to play the Shepard card for free. Does your opponent still get 3 free berries? Or is that void because there was no cost paid when placing the Shepard into your city?","If you have a Chapel, you get to play the Shepherd for free, so you don't have to pay the 3 berries to an opponent in that case. Thanks for asking!","""Shepherd: When played, gain 3 berries. Also 
gain 1 point token for each point token on 
your Chapel.""",,
https://boardgamegeek.com/thread/2029740/discardingupgrading-destination-cards-with-meeples,The legendaries don't even count as Common Critters/Constructions?,"No. Legendary cards are Legendary, not Common nor Unique.They have their own ""category"".",,,
https://boardgamegeek.com/thread/2620606/15-cards-in-your-city,"Hi, if you already have 15 cards in your cities, can you use a card like the Ruins to replace one of your constructions?","Check out the Timing section on page 10 of the rulebook. In particular, step 4 says, ""If the played card effect removes another card from your city, that card is removed immediately before the new card placement.""","""If the played card effect removes another card from your city, that card is removed immediately before the new card placement.""","""Ruins: When played, discard a Construction 
from your city and place this card in that spot, 
then receive back that Construction’s listed 
cost in resources. Also draw 2 cards.""",
https://boardgamegeek.com/thread/2028726/special-event-croak-wart-cure,Can I achieve Croak Wart Cure even if I don't have 2 berries and/or 2 cards in my city?,Nope.,,,
https://boardgamegeek.com/thread/2027572/end-of-game-workers,Does the Meadow replenish immediately or does the Shopkeeper and Historian trigger before the Meadow replenishes?,"Grab the card from the Meadow and play it, replenish the Meadow and now draw from the deck for the Historian if your hand allows.","""If an ability allows players to draw 
cards from the Meadow cards, draw all 
cards first then replenish.""",,
https://boardgamegeek.com/thread/2249198/discarding-a-card-with-a-worker-on-it,If I discard a card from my city with a worker on it do I get it back and can I reuse the worker on a future turn?,"No the worker is 'exhausted' and cannot be used until it is returned to your worker pool (or moved with a Ranger).You can show this by moving it to another card in your city (don't cover an otherwise available worker spot, though) and/or laying the meeple on its side.",,,
https://boardgamegeek.com/thread/1916877/placing-points-on-constructions,Do these point tokens left on the tower count as victory points at end of game?,"If you still have those cards in your city at the end of the game, they do count toward your score. In the Index for the Clock Tower: 'Any points left on the Clock Tower at game’s end will count towards your point total.'"," ""Any points left on the Clock Tower at game’s end will count towards your point total.""",,
https://boardgamegeek.com/thread/3066937/first-player-has-big-advantage,First player has big advantage?,"During setup, every next player after the first gets 1 more hand card, which is a minor advantage. It sounds like you're playing it so that the first player places all their workers before the next player has a chance to place one. That is incorrect. Instead, during a player's turn they choose to play 1 workers, or play 1 card, or prepare for the next season. But not all workers at once. So in the very first turn of the first player indeed they would probably place a worker at a good spot for them, and likely block others (e.g. a Forest Location), but the next player then takes their first turn and places their first worker at another likely good spot. The extra hand cards of the next player(s) compensate for that. Does that answer your question and help? Feel free to ask more.",,,
https://boardgamegeek.com/thread/2568327/returning-to-game-after-passing,"Is it really like that, that passing puts you out of the game forever, or is it meant as passing a round (as is usual in card games for this term), so that you could do things described above?","You only pass once which is at the end of the game and aside from taking your Rabbit on your expedition if you have the Spirecrest expansion, you can't take any other actions after that.","""When you cannot perform any more
actions (or do not wish to), you have
finished the game and must pass. If
a player has passed, they cannot be
given any cards or resources""",,
https://boardgamegeek.com/thread/3001800/what-happens-with-my-allocated-workers-when-i-fini,What happens with my allocated workers when I finish my game?,"Workers stay in their locations when you pass at the end of Fall, this blocking their (exclusive) spots for the rest of the game.","""To visit a location, place one of your
workers on any available symbol
and immediately take the listed
resources or perform the action. That
worker is then considered deployed to
that location until you bring them back
with the Prepare for Season action""",,
https://boardgamegeek.com/thread/2032929/two-clarification-questions,"On some of the cards (possibly only those with an OPEN sign), there is a small coin icon next to the open sign. What does that mean?","On page 8 of the rule book, in the section on placing a worker on a destination card, it says, ""You may place a worker on any Destination card in your city, or on a Destination card in another city that has an OPEN symbol, in which case the owner of the Destination gains 1 point token from the supply."" (emphasis original) The Gazette is part of the Extra! Extra! set of cards in the Collector's Edition, but yeah, the Collector's Edition rule sheet doesn't seem to have a description of each card like the Index in the main rule book does for the base cards. I expect it comes from the supply.  ",,,
https://boardgamegeek.com/thread/2631265/legendary-card-question-legendary-counting-as-basi,"If I upgrade my farm to McGregors Market, does it count as a regular farm as well?","It counts as a farm for effects that trigger off having a farm, including (but not limited to) Barge Toad, General Store, events that require having a farm, being able to play a wife or husband for free,...",,,
https://boardgamegeek.com/thread/2045810/rules-questions-discarding-cards-that-are-in-use-u,"What are the rules on discarding (with Ruin/Silver Spring, University, etc) cards that are ""in use"", such as containing a worker, or occupied token?","Workers on non-permanent placements go on the replacing card until the end of the season, permanent placements are removed from the game (cemetery and monastery). Occupancy token is simply discarded.",,,
https://boardgamegeek.com/thread/2135608/gazette-cared,The gazette card states Place one coin here each time you achieve an event. Does that include events I’ve already achieved or only those I achieve after I play the card?,"The effect is not retroactive, so only events after this card is played.",,,
https://boardgamegeek.com/thread/2035644/legendary-cards-and-miner-moles-or-chip-sweeps,"If I have a miner mole in my city, can I use the power to copy a legendary green production card, e.g. McGregor's Market, in my opponent's city? What about for chip sweeps if it's my own legendary green card?","You're not actually copying the card but duplicating the activation effect of the production.  So Miner Mole can copy the production activation effect of an opponent's legendary production card and Chip Sweep can do the same for one in your own city.Just note that in the case of the Miner Mole the copied effect uses the opponent's cities production values. For example: if you played Mole Miner and copied the production from your opponents Carnival, the results would be based on the number of production cards in their city, not yours.",,,
https://boardgamegeek.com/thread/2710264/legendary-cards-and-city-limit,"The rules say only one card can be played per turn, but that didn't make sense to us. Can you end up playing multiple cards in one turn?","No, you cannot. A turn is a single action: Play a card, place a worker, or prepare for season. That’s it. Not sure why that wouldn't make sense to you. On your turn, you do one of: 1) Place a worker 2) Play a card 3) Prepare for season. Rulebook, p. 2 and p. 7. So if you play a Farm card, that's your turn. When it's your turn again, you can place a worker, and that's a turn. On your third turn, you can play another card. There are some exceptions. For instance, if you play a postal pigeon, he allows you to play another card for free. So you technically played 2 cards in 1 turn. Or the ranger. After you play him, you can move an already deployed worker. Or one of the destination cards, e.g., queen, cemetery, or Inn. Those require a worker placed, but then you play a card with a certain discount.",,,
https://boardgamegeek.com/thread/3086902/basic-events,Does the order of the Basic Event Tiles matter?,"(When playing against Nightweave from the Mistwood expansion the order does matter, especially when playing with Basic Events from the other expansions. Nightweave prefers the outermost left/right tiles over the more central ones, which is why you put the tiles from the other expansions more to the centre: they're worth more points.)",,,
https://boardgamegeek.com/thread/2060129/are-you-allowed-to-build-ruins-without-any-prebuil,Are you allowed to build Ruins without any prebuilt construction?,"Since the rule book (in the index portion) states that the ruins is placed in the ""spot"" of the discarded construction, I would say that you need to actually perform the discard effect.",,,
https://boardgamegeek.com/thread/2066590/preparing-for-springautumn,"When preparing for Spring/Autumn, green Production cards Re-Activate. Does this mean that they generate end-game points as printed on the card, or just reactivate the card text?",They just produce whatever is written on the card. End game points are at the end of the game only.,,,
https://boardgamegeek.com/thread/2120345/rules-forest-location-discard-any-draw-2-for-each,If a player has 8 cards in hand are they able to discard all 8 and draw back up to 8 (due to being unable to draw past 8)?,"Yes, you may discard as many as necessary to draw twice that number, never going beyond 8 cards in hand. With 8 cards in hand you can discard as many as you want and draw back up to 8.",,,
https://boardgamegeek.com/thread/2616309/legendary-cards-meaning-of-opens-up-an-additional,Does playing Silver Scale Spring (under a Construction) still mean I have an extra open space?,Yes,,,
https://boardgamegeek.com/thread/2620427/clarification-on-the-rule-about-inn,"Being that the Inn is quite powerful, in my experience the person playing the Inn rarely gets to use it, because once he plays it into his own city, the next player can use the inn first before it's the turn of the Inn-owner. Is this correct? Or is there some mechanic I'm getting wrong?","You absolutely need to plan for the Inn, otherwise you're just handing your opponent a great opportunity. Last game I used my wife's Inn, and played a 4-6 VP card from the Meadow, and won.",,,
https://boardgamegeek.com/thread/2021211/legendary-creature-amilla-glistendew,Amilla action - achieving an Event card or the ability to ignore the requirements? So - is the (2-nd) worker deployed on the Event card or not?,"You do not have to deploy a second worker to the Event card. Like all the Cards in the Legendary expansion, Amilla has the potential to be very powerful!",,,
https://boardgamegeek.com/thread/2996852/discarding-for-journey,Can I discard more than 5 cards when playing on the 5 spot in the Journey area,"No you can only discard the number of cards shown on the journey space. From the rule book: ""You must discard cards from your hand equal to the listed points of the Journey location you choose."" Although you could ""house rule"" that you could discard more.","""You must discard cards from your hand equal to the listed points of the Journey location you choose."" ",,
https://boardgamegeek.com/thread/3272746/architect-and-storehouse,Does the architect give you points for resources you have stored on the storehouse?,No. You must place a worker on the Storehouse to gain those resources. Resources in the Storehouse are not considered in your supply.,"""At the end of the game, any resources left on the card are returned to the supply, they may not be used for end game bonuses or Expeditions.""",,
https://boardgamegeek.com/thread/3242156/starlings-vs-cemetery-clarification,"The rulebook states: ""Starlings: (...) If you are required to “reveal” cards, such as with a Postal Pigeon, they must be from the deck."" Assume that I play with Starlings and place my worker on the Cemetery. Does this rule imply that I can reveal cards only from the MAIN pile and not from the discard pile?","When instructed to reveal cards from the main deck, you can't use the Starlings power to take from the Meadow instead.","""Starlings: If you are required to “reveal” cards, such as with a Postal Pigeon, they must be from the deck.""",,
https://boardgamegeek.com/thread/2041285/placing-worker-without-taking-the-action,"Can you place a worker in a space if you cannot or do not want to take the action? Can you block, essentially?","If you do one of the effects of that worker placement, you are ok with your placement, however if you can not, or will not do any effects from that worker placement, it is invalid. Example 1: Forest location that provides two cards from the meadow and -1 resources to play one of those cards. If you have 8 cards this is an invalid placement. However if you have 6 (or 7 cards) you would draw two (or one) from the meadow (even if you can/will not play one). Example 2: Placement at the Inn if you can/will not play a critter or construction from the meadow is an invalid placement.",,,
https://boardgamegeek.com/thread/2917283/playing-the-monk-after-all-have-passed,"I was wondering if you could still play and use the monk’s card playing ability after everyone else has passed. The card says, “You MAY give up to 2 berries to an opponent…” Since the word “may” is used, does that mean I can’t use this ability if it’s unavailable (i.e., no active opponent to give them to)? Or can I discard these berries to the general supply as you can with other cards (i.e., monastery and post office) and get my VP’s?","You would discard the resources and gain the VPs. This is clarified in the End Game of the rules.""If a player has passed, they cannot be given any cards or resources. If cards or resources have to be given to a player and all other players have passed, discard instead.""","""If a player has passed, they cannot be given any cards or resources. If cards or resources have to be given to a player and all other players have passed, discard instead.""",,
https://boardgamegeek.com/thread/2526924/draw-cards-and-gain-any-resource,"Can I draw cards, check what cards I've drawn, and THEN choose the resource? Or the event is simultaneously and I have to decide what resource I want before?",You can take the cards and resource in any order so you definitely can look at the cards you draw before choosing the resource.,,,
https://boardgamegeek.com/thread/2659480/gain-place-token-points,Why are the token points symbols represented without any number on it?,A point symbol without any number is a single (1) point token.,,,
https://boardgamegeek.com/thread/2875645/5-6-players,do I need Bellfaire to play six players?,"You can deal enough cards to play 5 or 6. What I think you would be lacking is the market module (which can make it easier for so many players to get resources). and more flexible special events, Flower Festival event tile, and the Garland Awards.",,,
https://boardgamegeek.com/thread/2166268/i-have-a-question-about-ranger-and-dungeon,"What happens when I play ranger first and then play dungeon, will dungeon unlock its second cell in that case? Should I play dungeon first to unlock the second cell?","Order doesn't matter, just having the character alongside the building allows for the extra slot in the building.",,,
https://boardgamegeek.com/thread/2613893/stubblehoof-solo-blocking-rugwort-s-next-spot,"I have a question about Stubblehoof in the solo game. I have him on the Stone location. I plan to leave him there when I prepare for season. When Rugwort prepares for season his worker would move to the stone location. Would he be able to do that? If not, where would he go? If yes, do I get my Stubblehoof back and can play him regularly next round?","When such questions come up, check the Index. The Index for Stubblehoof says, ""In a solo game, you may still activate a location even if Rugwort moves to it.""","""In a solo game, you may still activate a location even if Rugwort moves to it.""",,
https://boardgamegeek.com/thread/2269378/play-a-card-powers,"For powers that say something like ""play a card for free"" or ""play a card with up to X point value for free"", can you play them from the meadow?  It seems like you can but I wanted to be sure.",Yes. Either from your hand or the Meadow.,,,
https://boardgamegeek.com/thread/2649339/extra-card,"When do triggered effects (e.g. the Historian) come into play vs. the played card's effect? For example, if I have a Historian and a full hand of 8 cards, and I then play the Bard from theMeadow, do I discard cards for the Bard first, giving me room in my hand to draw a card for theHistorian?",The played card and its effects are resolved before any triggered events.,,,
https://boardgamegeek.com/thread/2827443/if-someone-plays-the-teacher-and-offers-you-a-card,"If someone plays the teacher and offers you a card, are you obligated to take it if you have room?",You must take the card if possible. You never can discard cards without an explicit action.,,,
https://boardgamegeek.com/thread/2550085/discarding-a-construction-occupied-by-a-critter,Does the Critter that was occupying the Construction get discarded if the given Construction is discarded (say via Ruins)?,"You can get rid of a Construction, say Storehouse, but that does not mean that you discard the matching Critter, in this instance Wood Carver. You get the matching Critter, if you want, in a later turn. You can get the Critter first by paying the cost and later, the Construction. Worth mentioning, you would not place the Critter under the matching Construction. They do not share a space. Critter shares a space with the Dungeon, Champs may share. Wife and Husband may share. If you discard the Dungeon, you also discard the Critter that was in it.",,,
https://boardgamegeek.com/thread/2946575/gardener-greenhouse-combo-question,Does Tax Relief activate all Production cards EXCEPT any Legendaries?,"It depends on whether Tax Relief counts as copying/reactivating green cards or if it's just supposed to be seen as one additional Production phase for your city. The Archive Entry for this Special Event says this: ""When achieved, activate all green Production cards in your city, in the order you wish."" It doesn't mention that you could not activate Legendaries. For other cards, it usually explicitly states that Legendary cards cannot be activated by the card's effect. In my opinion, it would feel unnatural, if you would get to activate all Production cards just like when Preparing for Spring/Autumn, but this time you have to ignore your Legendary cards.","""When achieved, activate all green Production cards in your city, in the order you wish.""",,
https://boardgamegeek.com/thread/2029740/discardingupgrading-destination-cards-with-meeples,Could I use the effects of a Dungeon to help play a Ruin and discard that same Dungeon with the Ruin effect?," I would think that a strict interpretation would say that you could, but James may have a more thematic answer.",,,
https://boardgamegeek.com/thread/2045337/if-you-discard-the-crane-to-build-a-new-building-a,"If you discard the crane to build a new building and you’ve used a free architect, do you keep the free architect?","When you use a Construction to play a free Critter, the Critter is not then tied to that Construction in any way. Getting rid of the Construction does not affect the Critter; getting rid of the Critter does not affect the Occupied token on the Construction.",,,
https://boardgamegeek.com/thread/2519854/2-rules-question-about-destination-cards-and-husba,"I guess aside from husband/wife, the queen/king also occupy 1 spot right?","No, the king and queen can't share a space like the husband and wife.",,,
https://boardgamegeek.com/thread/2750664/gazette-extra-extra-card-clarification,"If you have played the gazette card and have placed at least three point tokens on the card, do you get to keep the point tokens that have been placed on the card and receive an additional three point tokens?","Yes. You do not ""trade the Point Tokens in"" - if that is what you were asking. Any number of Point Tokens that are on the Gazette at the end of the game still count as Points to you. Point Tokens are Point Tokens. The Gazette is one of my favorite cards; I would never bother playing it if you did not count the Point Tokens you place on the card.",,,
https://boardgamegeek.com/thread/2067656/town-crier-if-opponents-hands-are-full,"The text on the Town Crier states that you may give cards to an opponent, and if you do so, gain points. If your opponents' hands are all full, does just discarding some cards count as 'giving cards to an opponent' so that you gain the points?","It does count, so you will get the points.",,,
https://boardgamegeek.com/thread/2921148/when-is-an-event-yours,"If you place the special/basic events immediately in your city, the workers won't be on the board anymore so I assume this rule won't apply to these workers? The other scenario, where you say that events stay on the board until the end of the season, then the workers would still be on the board. But if you'd retrieve them by using the special event ability, would you then lose the special event?","The Special event ""A Well Run City"" states: When achieved, bring back one of your deployed workers. It doesn't matter where it is, you get one of your workers back, even the one you just used to achieve the special event.","""When achieved, bring back one of your deployed workers.""",,
https://boardgamegeek.com/thread/2027364/under-new-management,"I'm still a bit confused. You can place up to three resources, but the card scores in combinations of two goods, and those combos are mutually exclusive (stick + berry or resin + stone). What is the purpose of allowing up to three resources? When would the third resource ever be relevant?",One twig or one berry is worth 1 point. One resin or one pebble is worth 2 points. You can turn in any combo of 3.,,,
https://boardgamegeek.com/thread/2297996/open-locations-q,In open locations you can place as many of your workers as you want?  You could put ‘em all on the same space if you wanted?,"Yes, as long as you do it one turn at the time",,,
https://boardgamegeek.com/thread/1916877/placing-points-on-constructions,Do buildings score the number of point tokens on them at game end by default or only when explicitly stated as in the Clock Tower's case?,Constructions do score the point tokens on them.,,,
https://boardgamegeek.com/thread/2825936/lookout-card-question,Can you copie a basic or forest location where there is already a worker from another player?,Yes,,,
